+--------------+--------------+
|      Pat No. |          400 |
+--------------+--------------+
|      Pic No. |           13 |
|         Mode |            0 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |  127 |  127 |  127 |   91 |   88 |  127 |   23 |  122 |  127 |  127 |  127 |   13 |  100 |   10 |   57 |  127 |   17 |   41 |  115 |   43 |  127 |  114 |   75 |  127 |   89 |  127 |  127 |   58 |  127 |  127 |  127 |
|    1 |  127 |  127 |  101 |  127 |  127 |  127 |   36 |  127 |  127 |  127 |  127 |   65 |  127 |  127 |   63 |   80 |   71 |  127 |   79 |   50 |  116 |   72 |   38 |  127 |  127 |  127 |   93 |  105 |  127 |  127 |   51 |   81 |
|    2 |  127 |  127 |   13 |  127 |   91 |  127 |  127 |  127 |  102 |  127 |   44 |  127 |   46 |  127 |   96 |  127 |  127 |   37 |  127 |  117 |  114 |   53 |  127 |  127 |  127 |   99 |  127 |  117 |    3 |   65 |    7 |   45 |
|    3 |  127 |  127 |  127 |  127 |   25 |  127 |  127 |  127 |  127 |  127 |   38 |  127 |   84 |  127 |   81 |  127 |  127 |  127 |  127 |  127 |   95 |  127 |   21 |  127 |  127 |   87 |   51 |  127 |  127 |   22 |   25 |  127 |
|    4 |  115 |   68 |  119 |  100 |   42 |  127 |  127 |   93 |   82 |   14 |  127 |   15 |  127 |   78 |   61 |   62 |  127 |   34 |   12 |   23 |   27 |   47 |  127 |  111 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |
|    5 |  127 |   81 |  127 |   77 |  127 |  127 |  127 |  127 |   71 |  102 |    0 |  127 |  127 |   10 |  127 |  127 |  127 |   86 |  127 |   63 |  103 |  127 |   91 |  101 |    8 |  127 |  127 |   57 |  127 |  127 |  127 |  127 |
|    6 |  127 |  127 |  127 |  119 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   94 |   42 |  124 |   81 |   39 |  127 |   90 |  127 |  113 |  127 |   50 |  127 |    1 |   22 |  127 |
|    7 |  127 |  127 |  106 |  127 |  127 |   26 |  127 |  127 |  127 |  127 |   25 |  127 |  127 |   81 |   47 |   66 |  127 |   15 |   61 |  126 |  127 |   72 |  127 |  127 |  127 |   99 |  127 |  127 |   61 |   35 |   25 |   37 |
|    8 |    1 |  127 |  127 |  104 |   37 |   24 |  123 |   31 |    5 |  127 |  120 |   27 |  118 |   13 |   16 |    1 |   18 |  127 |   25 |   64 |  127 |   88 |  118 |  127 |    3 |  127 |  127 |  127 |   53 |  127 |  127 |  123 |
|    9 |   41 |   64 |   34 |  127 |   58 |  127 |  127 |  127 |    7 |   62 |   78 |  127 |  103 |  127 |   53 |  127 |   22 |  127 |   24 |  127 |   94 |   26 |    7 |   90 |   51 |  127 |   57 |   36 |   85 |  127 |   26 |   32 |
|   10 |  127 |   69 |   63 |  127 |   58 |   61 |   48 |  127 |   39 |  127 |   59 |   41 |   14 |  127 |  121 |  127 |  127 |  127 |   18 |   92 |  127 |    1 |  127 |  127 |  127 |    3 |  127 |   77 |   53 |    9 |   88 |  127 |
|   11 |   85 |  127 |  127 |  127 |  127 |   23 |  127 |  127 |  127 |  127 |   38 |  127 |   59 |  106 |  127 |  127 |  127 |   32 |  127 |  127 |   78 |  107 |   32 |    5 |   78 |  126 |  127 |  127 |   74 |  127 |   82 |   24 |
|   12 |   43 |  127 |  127 |   75 |  127 |  127 |  127 |  127 |   41 |  127 |  127 |  127 |   11 |  127 |  127 |  123 |  127 |   76 |  127 |  127 |  127 |  115 |  116 |  127 |  104 |   10 |   29 |  105 |   87 |    7 |  127 |  127 |
|   13 |   29 |   79 |  104 |  127 |  123 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   95 |  127 |  114 |  127 |  127 |  102 |  127 |  127 |   59 |  127 |  127 |  127 |   67 |    7 |   11 |  127 |  127 |   10 |  127 |  127 |
|   14 |  127 |  114 |  127 |  127 |  127 |  127 |  127 |  121 |  127 |  127 |   11 |   75 |  127 |  127 |  127 |  127 |   29 |  127 |  127 |  127 |  115 |  113 |   30 |   90 |  127 |  127 |  127 |  127 |  110 |  127 |   32 |   47 |
|   15 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |    4 |   21 |  127 |  127 |  127 |  127 |  104 |  127 |   14 |   59 |  127 |   76 |  127 |  127 |  127 |    1 |   57 |  127 |  127 |   33 |  127 |  127 |  127 |   62 |  127 |
|   16 |  108 |  127 |  120 |  127 |  127 |  110 |   17 |  127 |  127 |   40 |   22 |   47 |   20 |  127 |  127 |   81 |  127 |   71 |  127 |   42 |  127 |  127 |   32 |  127 |  127 |  127 |  127 |   46 |  127 |   43 |  127 |  127 |
|   17 |  127 |  127 |   19 |  127 |   76 |   27 |   88 |   24 |   28 |  127 |  127 |  127 |   98 |  104 |  127 |  127 |  127 |  127 |  127 |   55 |  127 |  127 |  107 |   98 |   52 |   39 |  127 |   23 |  127 |   45 |   77 |  127 |
|   18 |    0 |   13 |   71 |  111 |  122 |    0 |   72 |   85 |   22 |   62 |  127 |  127 |  127 |  127 |   60 |  127 |  127 |  127 |  127 |  127 |    4 |  127 |  127 |   15 |  127 |   60 |   95 |   37 |  127 |   38 |    4 |  104 |
